Id,ValorVencido,Sexo,EstadoCivil,DataNascimento,ValorPago
13176,"4.779,84",F,SOLTEIRO,1947-06-16 00:00:00,300
13177,"117,12",F,Outros,1973-05-01 00:00:00,"117,12"
13178,"307,37",F,SOLTEIRA,1982-06-26 00:00:00,"307,37"
13179,"115,8",F,CASADO,1985-05-16 00:00:00,"115,8"
13180,"4.147,76",F,SOLTEIRO,1978-12-07 00:00:00,50
13181,"160,67",M,Outros,1982-01-24 00:00:00,"160,67"
13182,"3.361,36",F,CASADO,1966-06-27 00:00:00,100
13183,"109,69",M,Outros,1987-12-09 00:00:00,"109,69"
13184,"387,25",F,CASADO,1986-01-01 00:00:00,"387,25"
13185,"121,47",M,CASADO,1994-12-01 00:00:00,"121,47"
13186,"153,58",F,CASADO,1986-05-22 00:00:00,"153,58"
13187,"389,76",F,Outros,1978-11-23 00:00:00,"389,76"
13188,"112,25",F,SOLTEIRO,1977-08-29 00:00:00,"112,25"
13189,"1.606,4",M,CASADO,1975-02-16 00:00:00,50
13190,"103,62",F,SOLTEIRO,1977-03-19 00:00:00,"103,62"
13191,"153,16",M,SOLTEIRO,1980-08-23 00:00:00,"153,16"
13192,"142,93",M,CASADO,1991-12-17 00:00:00,"142,93"
13193,"92,96",M,CASADO,1991-12-17 00:00:00,"92,96"
13194,"71,92",F,CASADO,1974-03-16 00:00:00,"71,92"
13195,"175,68",F,CASADO,1969-05-16 00:00:00,"175,68"
13196,"185,44",F,SOLTEIRO,1958-05-25 00:00:00,"185,44"
13197,"291,81",F,Outros,1970-02-16 00:00:00,"291,81"
13198,"172,8",F,SOLTEIRO,1979-01-15 00:00:00,"172,8"
13199,"208,22",F,SOLTEIRO,1984-10-12 00:00:00,"208,22"
13200,"344,63",F,CASADO,1964-11-05 00:00:00,50
13201,"74,41",M,Outros,1992-11-04 00:00:00,"74,41"
13202,"71,44",F,SOLTEIRO,1974-06-29 00:00:00,"71,44"
13203,"417,29",F,Outros,1990-09-19 00:00:00,"417,29"
13204,"385,83",F,SOLTEIRO,1994-09-03 00:00:00,"385,83"
13205,"2.712,4",F,CASADO,1950-10-24 00:00:00,100
13206,"1.569,2",F,CASADO,1964-06-05 00:00:00,200
13207,"201,68",M,CASADO,1994-05-25 00:00:00,"201,68"
13208,"427,67",M,SOLTEIRO,1969-11-19 00:00:00,"427,67"
13209,"60,99",F,SOLTEIRO,1986-12-20 00:00:00,"60,99"
13210,"228,74",M,CASADO,1997-08-16 00:00:00,"228,74"
13211,"646,95",M,SOLTEIRO,1961-08-24 00:00:00,"646,95"
13212,"194,08",F,Outros,1991-10-21 00:00:00,"194,08"
13213,"59,85",F,CASADO,1982-07-13 00:00:00,"59,85"
13214,"2.156,6",F,SOLTEIRO,1971-05-14 00:00:00,100
13215,"291,55",F,CASADO,1989-12-21 00:00:00,"291,55"
13216,"274,57",F,CASADO,1989-12-21 00:00:00,"274,57"
13217,"54,51",M,CASADO,1993-07-14 00:00:00,"54,51"
13218,"382,92",F,SOLTEIRO,1984-08-30 00:00:00,"382,92"
13219,"398,39",M,SOLTEIRO,1989-07-06 00:00:00,"398,39"
13220,405,M,CASADO,1997-03-08 00:00:00,50
13221,"176,37",F,CASADO,1954-03-10 00:00:00,"176,37"
13222,"199,99",F,SOLTEIRO,1971-08-28 00:00:00,"199,99"
13223,"123,66",F,SOLTEIRO,1983-12-25 00:00:00,"123,66"
13224,"868,31",M,CASADO,1976-09-06 00:00:00,"868,31"
